content	x	y	w	h	
ANTICHITA	1521	359	295	53	
'	1810	355	13	57	
DI	1871	354	50	56	
ROMA	1963	353	140	55	
Cicerone	1101	443	190	57	
nelle	1323	438	94	59	
sue	1447	435	66	60	
Epistoie	1545	433	166	58	
,	1724	429	10	61	
e	1767	428	20	61	
nella	1813	427	96	59	
Legge	1927	424	128	59	
Agraria	2073	421	158	58	
contro	2257	417	136	57	
il	2409	413	24	61	
Tri	2451	412	79	59	
buno	1101	503	108	58	
Rullo	1239	500	107	59	
.	1368	497	11	61	
Si	1411	496	38	60	
vede	1475	494	94	60	
quest'acqua	1593	492	242	55	
appena	1865	485	144	58	
esciti	2033	481	104	59	
da	2165	478	48	61	
Frascati	2243	477	156	57	
nella	2435	472	94	59	
moderna	1103	559	180	56	
strada	1295	556	120	57	
a	1433	553	20	59	
sinistra	1476	553	132	57	
(	1629	550	12	59	
1	1651	550	14	59	
)	1673	549	14	59	
.	1702	549	10	59	
Fu	1743	548	52	58	
negli	1819	547	98	57	
antichi	1937	544	138	57	
tempi	2093	542	114	57	
acqua	2227	539	120	58	
di	2365	537	38	58	
quasi	2425	536	106	57	
nessun	1105	627	131	53	
uso	1268	623	66	55	
per	1365	620	63	56	
Roma	1460	618	128	53	
,	1592	614	17	57	
non	1641	613	76	56	
servendo	1741	611	188	52	
che	1961	605	68	56	
per	2059	602	66	56	
le	2155	600	33	56	
Piscine	2216	598	142	54	
pubbli	2378	594	155	54	
che	1103	679	66	58	
tra	1203	678	52	58	
il	1272	676	33	59	
Celio	1335	675	110	58	
e	1478	673	18	59	
Celiolo	1525	672	151	57	
:	1693	669	8	59	
di	1735	668	37	59	
quanta	1798	667	141	57	
utilità	1957	664	120	58	
sia	2103	662	50	58	
a	2179	661	19	59	
nostro	2224	660	128	57	
tempo	2377	657	129	57	
,	2518	655	12	59	
basta	1103	744	102	57	
dire	1231	741	85	57	
che	1340	738	70	57	
serve	1429	736	113	56	
per	1567	733	67	57	
macinare	1639	731	197	54	
grano	1870	725	118	56	
a	2017	721	19	59	
sette	2064	720	92	57	
molini	2187	717	131	56	
,	2341	713	11	59	
uno	2387	712	77	56	
in	2493	709	40	58	
detta	1109	803	99	54	
