content	x	y	w	h	
38	434	450	77	65	
Key	521	520	85	42	
of	623	519	45	34	
F	678	519	33	33	
Major.	727	516	134	47	
WINTER.	1850	445	317	66	
C.	2240	449	61	53	
M.	2336	452	81	51	
“	1313	525	18	13	
And	1341	522	72	30	
it	1425	524	26	27	
was	1464	532	66	19	
at	1542	526	34	25	
Jerusalem	1589	523	179	39	
the	1780	525	57	27	
feast	1848	523	85	28	
of	1943	523	35	28	
the	1989	524	57	27	
dedication,	2057	524	192	33	
and	2263	523	65	31	
it	2340	525	27	28	
was	2379	534	67	19	
winter.’’—John	2458	525	282	37	
10	2759	529	34	27	
:	2804	538	6	18	
22.	2828	528	41	27	
Daniel	3285	526	164	36	
Reed,	3473	526	132	44	
1785.	3626	526	97	38	
His	714	973	68	36	
hoar-y	828	973	149	44	
frost,	1023	971	103	47	
his	1170	972	57	34	
fleec	1267	971	85	36	
-	1378	990	11	6	
y	1414	983	25	32	
snow,	1485	981	117	32	
De-scend	1624	969	183	38	
and	1819	971	71	35	
clothe	1901	968	117	41	
the	2029	972	62	34	
ground;	2116	972	151	43	
The	2285	971	77	38	
liquid	2377	973	107	44	
streams	2496	976	155	34	
for	2676	976	55	34	
-	2764	995	11	6	
bear	2801	976	83	36	
to	2945	981	36	33	
flow,	3043	979	98	43	
In	3157	979	37	35	
ic	3258	980	29	36	
-	3343	1000	14	6	
y	3406	993	26	32	
fet	3476	982	53	36	
-	3540	1000	11	7	
ters	3564	986	73	33	
bound.	3652	981	133	38	
See	499	1449	90	36	
history	613	1449	143	43	
of	773	1449	37	34	
Daniel	836	1447	130	35	
Reed	994	1445	95	38	
under	1114	1447	113	35	
tune	1251	1448	87	33	
of	1363	1446	37	35	
“Windham.”	1426	1443	285	42	
“Winter”	1762	1443	220	40	
appears	2009	1457	151	32	
in	2179	1447	35	33	
the	2231	1447	62	36	
“	2313	1445	23	18	
Southern	2353	1446	180	38	
Harmony,"	2553	1447	232	47	
in	2813	1451	35	34	
1835,	2878	1452	95	42	
page	2992	1463	91	32	
293;	3109	1463	85	34	
“	3225	1453	23	16	
Missouri	3264	1455	170	36	
Harmony,”	3454	1455	229	46	
1837,	3710	1459	97	42	
page	431	1503	92	34	
51,	549	1502	55	35	
and	629	1493	72	34	
in	726	1493	35	34	
other	787	1492	103	36	
song	914	1501	93	34	
books	1032	1488	117	40	
long	1174	1490	85	42	
prior	1284	1489	94	44	
to	1401	1492	37	33	
this.	1462	1489	87	35	
See	1600	1488	66	36	
“	1693	1489	23	16	
Columbia	1734	1489	198	37	
Harmony,”	1959	1489	228	47	
1793.	2217	1501	93	34	
WINDHAM.	1796	1564	399	55	
L.	2270	1568	60	52	
M.	2361	1570	80	50	
“	814	1648	19	12	
Wide	843	1646	90	27	
is	945	1646	28	27	
the	985	1646	56	27	
gate,	1054	1646	83	35	
broad	1151	1645	101	27	
is	1263	1644	28	28	
the	1303	1645	57	27	
way	1372	1652	72	26	
that	1456	1644	73	26	
leadeth	1541	1643	130	28	
to	1684	1646	33	24	
destruction.	1729	1643	210	28	
Straight	1974	1643	146	35	
is	2132	1644	28	27	
the	2177	1645	57	26	
gate,	2246	1647	83	33	
narrow	2344	1654	129	20	
is	2483	1647	29	27	
the	2522	1649	57	25	
way	2592	1656	73	27	
that	2675	1649	72	28	
leadeth	2759	1648	130	30	
unto	2902	1653	79	26	
life.”—Matt.	2994	1651	240	30	
7:	3249	1656	27	27	
13,	3294	1657	40	32	
14.	3349	1657	41	26	
Isaac	518	1696	122	32	
Watt,	662	1694	139	40	
1709.	817	1692	98	35	
Key	965	1693	87	42	
of	1067	1692	42	35	
B	1122	1691	35	38	
Minor.	1172	1690	142	34	
s	1897	1698	19	16	
Daniel	3283	1702	166	37	
Read,	3471	1704	130	41	
1785.	3618	1703	99	36	
I.	544	1964	28	24	
Broad	601	1952	118	36	
is	737	1953	30	36	
the	806	1953	63	35	
road	895	1952	85	36	
that	990	1951	82	37	
leads	1085	1950	99	38	
to	1197	1953	37	34	
death	1275	1950	107	37	
And	1454	1950	82	35	
thou-sands	1560	1949	219	38	
walk	1792	1950	99	35	
togeth	1903	1950	125	45	
-	2042	1970	11	6	
er	2071	1962	36	24	
there;	2123	1951	111	43	
But	2259	1952	72	37	
wisdom	2345	1951	153	38	
shows	2513	1954	126	36	
a	2653	1967	21	24	
nar	2714	1966	64	26	
-	2796	1975	11	6	
row	2826	1967	75	25	
path,	2962	1958	101	42	
With	3081	1958	103	38	
here	3198	1959	83	37	
and	3295	1961	72	35	
there	3378	1961	100	36	
a	3495	1972	22	26	
trav-’ler.	3562	1962	177	37	
2.	538	2236	33	24	
“De-ny	602	2223	176	45	
thy-self,	809	2223	168	46	
and-take	996	2220	174	40	
thy	1183	2222	69	43	
cross,”	1275	2219	142	47	
Is	1466	2220	33	35	
the	1515	2221	63	35	
Re-deemer’s	1596	2218	245	39	
great	1858	2224	102	41	
command;	1979	2222	201	44	
Na-ture	2204	2222	152	40	
must	2375	2224	99	37	
count	2489	2228	110	33	
her	2615	2226	64	36	
gold	2695	2227	83	43	
but	2796	2226	65	38	
dross,	2877	2227	118	44	
If	3017	2229	30	35	
she	3063	2229	65	35	
would	3146	2230	119	37	
gain	3283	2232	84	43	
this	3383	2233	76	34	
heav’nly	3476	2232	178	45	
land.	3670	2233	95	37	
3.	541	2496	30	33	
The	599	2484	81	35	
fear-ful	696	2483	146	37	
soul	860	2483	79	37	
that	956	2483	82	37	
tires	1068	2482	86	38	
and	1172	2481	71	36	
faints,	1267	2481	127	44	
And	1459	2481	82	36	
walks	1559	2480	119	37	
the	1694	2482	63	35	
ways	1774	2491	106	34	
of	1897	2483	37	34	
God	1952	2480	85	38	
no	2055	2493	45	24	
more,	2120	2493	110	33	
Is	2252	2482	33	35	
but	2333	2484	65	38	
es-teemed	2422	2484	195	37	
al	2635	2486	33	35	
-	2683	2506	12	5	
most	2707	2490	96	33	
a	2819	2499	21	24	
saint,	2858	2487	109	44	
And	2974	2489	80	34	
makes	3068	2489	126	35	
his	3208	2490	59	36	
own	3278	2501	83	26	
destruc	3374	2492	142	37	
-	3533	2511	13	5	
tion	3562	2494	76	35	
sure.	3664	2503	94	27	
4.	537	2737	32	32	
