content	x	y	w	h	
JULY	719	252	120	72	
1971	882	251	124	72	
1	2340	230	20	73	
:	2371	230	20	73	
25.000	2397	230	176	73	
CONTOUR	3433	239	267	66	
INTERVAL	3769	241	283	66	
10	4093	242	36	65	
METERS	4186	242	233	67	
Z	4558	428	73	20	
4730	1172	757	126	79	
-4730	1408	686	7	127	
4730	2588	827	90	43	
4750	2699	880	96	51	
-4780	2849	910	119	3	
)	2960	858	33	38	
-4720	919	1094	81	99	
EAGLE	2698	1186	191	68	
CREST	2932	1182	180	69	
4750	3212	1325	78	86	
4740	3296	1361	86	79	
4730	3367	1476	87	80	
1600	2812	1454	124	52	
3.9	2791	1526	87	49	
4710	790	1558	61	77	
-4720	2350	1549	116	106	
-4730	2324	1639	93	85	
13	2666	1684	41	52	
)	2735	1681	16	54	
4720	3426	1681	95	55	
4700	2885	1642	175	36	
4710	3464	1764	95	68	
-4750	2278	1739	103	84	
A650	3002	1739	108	9	
PLUTON	2956	1802	229	71	
-4700	3523	1907	145	140	
4720	2207	1866	99	55	
CHAIN	1862	1946	166	61	
-4690	3607	1942	113	65	
23	2636	1896	33	98	
1589	2720	1860	30	152	
SICARUS	2719	1996	245	71	
D	3224	1967	33	67	
4680	3794	2032	101	38	
0130	2482	2156	44	139	
SIDE	3125	2045	127	68	
-4700	690	2069	56	188	
LINK	1903	2160	131	65	
1500	2023	2298	146	55	
3.4	2047	2366	70	48	
0880	2441	2288	177	16	
-	652	2260	42	54	
4600	670	2282	33	151	
18	2311	2346	20	52	
20	2461	2353	107	32	
4500	622	2467	42	150	
3309	2486	2713	64	153	
EPIC	3200	2618	112	66	
4400	593	2639	53	156	
E	1914	2911	66	82	
4400	547	2808	44	172	
4500	509	3004	42	163	
0400	2213	3078	182	17	
11.4	2246	3160	95	9	
4700	415	3269	26	168	
-4600	449	3140	48	193	
RING	3464	3305	140	62	
1210	1547	3330	117	58	
2.8	1542	3410	87	52	
0480	1778	3452	140	112	
0.8	1853	3487	87	36	
27	3202	3504	41	48	
UTTERMOST	436	3439	364	68	
WEST	521	3523	176	63	
014	3348	3452	65	76	
:	3440	3472	4	63	
4740	2092	3574	74	82	
1639	3614	3426	150	50	
7.6	3606	3502	73	51	
4730	2232	3577	92	48	
27	1601	3595	32	48	
18	3346	3590	23	45	
o	474	3677	85	25	
18	1732	3689	27	44	
1630	3481	3576	26	138	
2.7	3439	3642	29	71	
4690	3205	3820	75	81	
TERRACE	1515	3871	256	70	
0.8	1858	3791	8	110	
3350	1922	3740	43	171	
/	2180	3864	18	57	
120	2204	3864	117	54	
2.3	2158	3950	83	53	
4700	2965	3763	0	182	
4710	2816	3955	17	97	
SCARP	2298	4093	185	61	
QUARK	3235	4092	193	62	
18	1972	4188	23	41	
O	2065	4183	13	42	
RIM	1824	4241	78	61	
27	1919	4363	42	45	
1059	2292	4282	150	53	
2.	2286	4355	59	56	
/	2347	4356	15	55	
4720	2615	4248	29	100	
18	2062	4451	26	42	
.	2098	4448	14	44	
3150	2405	4564	47	155	
LM	3795	4682	92	64	
SITE	3982	4682	127	64	
272	2909	4718	112	63	
2720	3575	4734	149	53	
0.8	3587	4810	75	56	
4700	2314	4765	55	170	
4700	3528	4844	88	136	
4690	4354	4879	62	92	
-4680_1	4423	4769	73	179	
4600	2198	4854	53	165	
INDEX	4082	4956	169	62	
-4500	2077	4933	57	188	
4400	1990	5051	35	165	
4300	1874	5142	30	149	
©	3978	5337	9	38	
4400	1718	5268	43	152	
-4600	1480	5420	40	186	
-4500	1597	5348	50	173	
4700	1380	5540	27	159	
ARBEIT	4379	5512	191	65	
HADLEY	3999	5577	210	66	
RILLE	4242	5577	153	66	
EVA	4002	5659	94	68	
-	4115	5660	17	67	
111	4153	5660	66	68	
+4720	3768	5642	134	37	
--4750	866	5678	61	115	
14730	3703	5804	192	16	
