content	x	y	w	h	
THE	998	436	97	76	
STAR	1130	436	139	76	
-	1281	436	22	76	
SPANGLED	1308	436	300	76	
BANNER	1646	436	232	76	
Warda	2001	463	82	53	
by	2097	463	30	53	
FRANCIS	2141	463	119	53	
S	2280	463	15	53	
.	2296	463	15	53	
ELY	2314	463	61	53	
.	2377	463	15	53	
43	2415	463	59	53	
An	606	520	40	44	
the	668	520	44	44	
Voices	737	520	99	44	
in	852	520	24	44	
Unison	908	520	105	44	
.	1023	520	12	44	
Oh	635	761	41	32	
,	682	765	6	29	
od	546	845	35	25	
os	545	906	36	25	
say	782	760	52	36	
can	845	760	47	36	
you	907	760	52	36	
see	986	760	47	36	
,	1035	760	10	36	
by	1076	760	39	36	
the	1126	760	52	36	
dawn	1192	760	84	36	
'	1282	760	10	36	
s	1294	760	10	36	
early	1315	760	74	36	
light	1406	760	73	36	
,	1479	760	10	36	
What	1493	760	91	36	
so	1592	760	27	36	
proudly	1647	760	119	36	
we	1777	760	47	36	
hailed	1847	760	90	36	
at	1970	760	26	36	
the	2010	760	52	36	
twilight	2087	760	130	36	
'	2215	760	10	36	
s	2230	760	10	36	
last	2249	760	54	36	
gleaming	2313	760	145	36	
:	2466	760	10	36	
Whose	581	794	109	31	
broad	700	794	88	32	
stripes	800	795	110	31	
and	914	795	58	31	
bright	984	795	102	31	
stars	1091	795	79	31	
thro	1177	795	64	31	
'	1247	796	8	31	
the	1265	796	49	31	
perilous	1325	796	126	31	
fight	1463	796	68	31	
,	1532	796	8	31	
O	1548	796	8	31	
'	1567	796	8	31	
er	1581	796	28	31	
the	1616	796	49	31	
ramparts	1677	796	145	32	
we	1833	797	45	31	
watched	1884	797	133	31	
were	2028	797	77	31	
so	2116	797	23	31	
gallantly	2156	797	137	32	
streaming	2305	798	161	31	
:	2479	798	8	31	
On	637	822	44	34	
the	694	822	49	34	
shore	750	822	86	34	
dim	842	822	44	34	
-	905	822	9	34	
ly	920	822	19	34	
seen	976	822	66	34	
thro	1055	822	64	34	
'	1126	822	9	34	
the	1140	822	52	34	
mists	1207	822	87	34	
of	1297	822	38	34	
the	1349	822	49	34	
deep	1413	822	66	34	
,	1486	822	9	34	
Where	1498	822	111	34	
the	1622	822	49	34	
foe	1681	822	44	34	
'	1731	822	9	34	
s	1742	822	9	34	
haughty	1763	822	129	34	
host	1903	822	70	34	
in	1984	822	19	34	
dread	2018	822	94	34	
silence	2122	822	107	34	
re	2241	822	25	34	
-	2288	822	9	34	
pos	2313	822	54	34	
-	2368	822	9	34	
es	2383	822	31	34	
,	2417	822	9	34	
What	604	852	94	34	
is	708	852	19	34	
that	745	852	65	34	
which	817	852	94	34	
the	927	852	49	34	
breeze	985	852	101	34	
,	1093	852	9	34	
o	1107	852	9	34	
'	1121	852	9	34	
er	1132	852	31	34	
the	1172	852	49	34	
towering	1235	852	145	34	
steep	1414	852	78	34	
,	1499	852	9	34	
As	1518	852	44	34	
it	1587	852	19	34	
fit	1686	852	25	34	
-	1716	852	9	34	
fui	1729	852	43	34	
-	1772	852	9	34	
ly	1788	852	25	34	
blows	1849	852	94	34	
,	1943	852	9	34	
half	1955	852	60	34	
con	2030	852	49	34	
-	2083	852	9	34	
ceals	2095	852	74	34	
,	2174	852	9	34	
