content	x	y	w	h	
212	1307	230	106	36	
డి	28	530	32	12	
IN	13	948	10	31	
9	1269	949	1	31	
BU	12	1009	13	46	
ad	8	1072	16	56	
CO	12	1232	11	39	
!	28	1232	3	39	
sil	0	1360	40	65	
tore	173	286	119	76	
.	307	285	23	77	
Poi	363	284	100	77	
la	497	284	41	76	
statua	588	283	175	76	
di	797	281	56	77	
Cupido	887	281	203	76	
,	1126	279	23	77	
che	1187	279	100	76	
spez	1319	278	149	76	
za	173	373	73	77	
l'arco	284	371	162	75	
,	478	366	24	77	
proveniente	539	365	341	71	
da	906	356	75	76	
qnalche	997	354	229	73	
bell’ori	1238	349	230	72	
ginale	177	441	169	74	
greco	393	436	145	74	
,	562	431	25	78	
perchè	621	429	203	74	
si	857	423	60	78	
trova	940	421	156	75	
essere	1132	416	169	74	
altro	1321	411	129	75	
ve	172	501	75	79	
,	283	500	24	80	
e	356	499	24	80	
nel	423	499	104	79	
Museo	543	498	203	78	
Chioramonti	796	495	368	78	
ripetuto	1200	492	224	78	
;	1465	490	24	80	
si	185	580	39	68	
vede	263	578	128	66	
incontro	437	575	238	66	
un	719	570	64	68	
Faunetto	831	568	257	66	
.	1129	564	21	69	
Dopo	1192	562	143	67	
sie	1389	559	83	68	
guono	175	655	187	66	
due	399	649	103	68	
busti	532	645	159	67	
uno	723	640	113	68	
di	877	636	55	70	
Sileno	960	634	175	66	
,	1160	629	22	70	
l'altro	1227	627	179	66	
di	1435	621	67	69	
Pompeo	183	725	226	70	
,	429	718	24	76	
posti	497	716	135	73	
su	672	711	46	76	
due	767	708	113	74	
cippi	911	705	157	72	
con	1102	699	79	75	
iscrizioni	1234	696	269	69	
sepolcrali	179	795	289	73	
,	484	789	25	78	
la	542	787	46	79	
statua	635	785	183	75	
di	863	780	75	77	
Apollo	975	777	181	76	
con	1211	772	92	77	
lira	1350	769	97	76	
,	1468	766	25	78	
che	186	861	95	81	
fu	320	859	48	82	
probabilmente	416	857	430	74	
in	903	846	31	83	
origine	988	844	209	79	
un	1248	839	64	81	
Sau	1366	837	119	80	
rottono	181	938	217	62	
,	433	943	15	57	
cioè	493	916	118	80	
uccisore	643	914	234	79	
di	935	911	59	80	
lucerte	1028	910	201	79	
,	1264	907	24	81	
come	1345	906	158	79	
quello	174	1005	190	67	
della	399	1000	145	67	
villa	603	995	118	69	
Albani	778	991	207	66	
,	1009	986	22	71	
e	1081	984	22	71	
del	1163	982	92	68	
Museo	1287	980	209	65	
Pio	182	1070	87	74	
-	279	1068	22	75	
Clementino	323	1068	325	71	
;	689	1063	22	75	
quindi	760	1062	196	72	
un	988	1059	70	74	
busto	1105	1057	146	73	
,	1289	1055	22	75	
detto	1342	1054	143	56	
di	181	1147	59	76	
Cecrope	272	1145	237	71	
,	526	1138	24	76	
re	579	1137	58	75	
di	681	1134	59	75	
Atene	771	1132	167	72	
,	955	1127	24	76	
e	1018	1125	24	76	
incontro	1081	1124	244	70	
altro	1351	1116	134	73	
creduto	185	1200	223	84	
di	452	1199	46	84	
Catone	535	1198	204	84	
maggiore	756	1197	288	84	
.	1062	1196	24	85	
Poi	1117	1195	95	85	
un	1240	1195	62	85	
grup	1346	1194	153	85	
po	182	1293	71	73	
preteso	296	1290	209	68	
di	547	1282	71	73	
Agrippina	646	1279	283	67	
con	995	1269	86	72	
Nerone	1118	1266	223	67	
fan	1374	1258	112	71	
ciullo	183	1355	161	76	
,	368	1351	25	78	
ma	418	1351	118	76	
con	559	1347	92	76	
poco	699	1343	136	76	
fondamento	882	1339	342	72	
;	1256	1330	25	78	
incon	1317	1329	180	74	
tro	183	1426	84	71	
una	314	1423	115	71	
Baccante	476	1420	259	69	
ubbriaca	788	1414	252	68	
accovacciata	1090	1408	359	67	
,	1480	1401	22	73	
con	185	1497	87	74	
vaso	319	1495	117	73	
in	484	1492	45	75	
mano	556	1491	171	71	
ornato	747	1487	183	73	
di	983	1483	56	75	
