content	x	y	w	h	
SCS	567	128	176	71	
COMI	236	186	173	48	
zo	739	411	20	28	
-	739	368	20	5	
ZC	739	319	20	34	
UDZUROZ	854	264	20	146	
|	854	418	20	5	
ITEM	873	325	60	28	
POWER	995	305	94	31	
SOURCE	992	343	102	32	
CIRCUIT	1228	308	108	29	
BREAKER	1217	345	127	32	
SWITCH	1427	309	97	29	
LOGIC	1439	346	70	29	
SWITCH	1714	310	101	30	
SENSOR	1856	310	95	30	
SIG	1836	348	34	29	
.	1880	348	8	29	
COND	1896	349	67	29	
.	1969	349	8	29	
7	1998	321	11	42	
TLM	2046	322	42	42	
/	2127	323	11	42	
CONTROL	2175	311	126	34	
CONTROLLED	2313	311	187	34	
UNIT	2204	350	66	28	
COMPONENT	2325	348	165	32	
OR	2538	335	25	20	
DISPLAY	2609	332	108	30	
B	812	354	4	18	
VALVE	1580	384	82	30	
1	3088	381	8	71	
GROUP	1191	460	85	33	
4	1286	451	14	40	
6	1344	447	14	40	
I	1269	491	8	28	
сс	1339	484	33	24	
28	1003	482	27	28	
VDC	1038	481	44	28	
FLTE	1002	511	69	19	
BUS	1036	530	42	31	
VHF	1659	440	48	30	
-	1717	440	8	30	
AM	1734	440	27	30	
-T	1684	472	29	32	
/	1719	472	8	32	
R	1729	472	8	32	
OPF	1763	523	45	26	
18	1612	500	21	28	
DD	1605	536	32	22	
POWER	2387	469	90	27	
SUPPLY	2495	468	103	27	
REGULATOR	2395	504	159	27	
SUPPRESSOR	2397	527	178	26	
AND	2393	551	51	26	
FILTER	2461	552	84	26	
2	2742	487	18	63	
thru	3013	480	130	75	
REC	1693	569	46	25	
TIR	1694	668	31	33	
POWER	2388	620	91	32	
SUPPLY	2506	621	108	32	
DC	2387	659	29	34	
/	2416	660	8	33	
DC	2432	661	23	33	
CONVERTER	2477	662	151	36	
,	2637	666	8	33	
XPRMR	2379	688	92	26	
AND	2490	688	48	26	
RECTIFIERS	2389	713	166	28	
TR	2758	673	23	30	
6	3096	656	6	67	
OFF	1760	724	44	22	
REC	1684	770	49	25	
RCVR	1682	857	63	27	
RCVR	2069	866	75	29	
1	2169	866	8	29	
AND	2194	866	54	29	
TR	2075	895	23	26	
SWITCH	2119	895	99	25	
12V	2328	861	45	22	
Ос	2324	896	45	19	
PWR	2419	851	57	28	
TO	2491	850	21	28	
RCVR	2534	850	67	28	
1	2622	850	7	28	
FRONT	2431	880	94	31	
END	2543	877	54	32	
REGULATOR	972	905	146	30	
SUPPRESSOR	968	933	159	27	
AND	968	957	49	30	
ALTER	1025	959	76	29	
15	1205	924	17	28	
VDC	1232	923	54	25	
7	3106	916	7	71	
DD	1592	957	41	22	
RECEIVER	2066	973	134	26	
2	2228	971	7	28	
SWITCH	2078	1000	99	28	
12	2330	976	19	20	
V	2365	976	5	20	
DC	2328	1009	36	20	
PWR	2419	975	58	27	
TO	2497	973	20	28	
RCVR	2544	972	66	27	
2	2634	970	8	28	
FRONT	2430	999	93	26	
END	2536	998	54	27	
vo	2735	998	52	31	
thru	3034	1022	135	73	
KEVING	2459	1074	99	29	
RELAY	2426	1103	87	27	
COIL	2534	1102	55	28	
TO	2494	1243	21	19	
AUDIO	2535	1242	63	19	
CENTER	2493	1263	90	21	
9	3107	1210	9	69	
POWER	804	1263	56	173	
SUPPLY	801	1023	56	161	
VHF	719	1774	58	98	
/	719	1658	58	16	
AM	720	1627	58	54	
TRANSMITTER	720	1519	59	361	
AND	721	1112	59	75	
RECEIVERS	722	1001	59	239	
ANTENNA	799	1987	57	219	
CONTROL	800	1729	57	215	
CANT	1844	1416	76	38	
:	1919	1415	10	38	
SWITCH	1936	1415	95	38	
ANT	2078	1415	49	37	
.	2121	1414	10	38	
SWITCH	2143	1414	97	38	
|	1843	1451	9	31	
UNITI	1866	1450	95	27	
TUNIT	2057	1460	89	27	
2	2178	1459	7	28	
RECOVERY	2502	1413	133	30	
SANT	2467	1436	88	39	
N22	2565	1433	60	39	
A	2477	1500	10	41	
ANTENNA	2510	1501	125	44	
FA	2751	1496	51	57	
10	3046	1446	96	75	
thru	3027	1555	127	74	
VHF	994	1537	54	24	
MULTI	982	1563	85	22	
PLEXER	984	1585	100	28	
-	1857	1547	22	5	
APPER	2461	1557	133	31	
ANTENNA	2511	1574	125	27	
HE	2148	1624	36	35	
GROUPS	1210	1674	120	68	
14	1550	1650	20	27	
co	1547	1687	33	19	
VHF	1662	1661	56	19	
ANTENNA	1624	1681	126	23	
*	2356	1636	7	28	
RECOVERY	2384	1636	137	27	
ANTENNAS	2540	1635	140	27	
MAY	2346	1670	54	28	
BE	2422	1669	32	29	
MANUALLY	2475	1669	144	27	
SHIFTED	2346	1698	110	29	
ON	2479	1697	27	30	
PANEL	2529	1696	80	30	
9	2630	1695	8	30	
AND	2347	1725	54	30	
ARE	2416	1724	52	30	
AUTOMATICALLY	2490	1723	228	28	
DEPLOYED	2344	1752	143	31	
AFTER	2513	1752	93	31	
MAIN	2345	1778	66	30	
CHUTE	2445	1777	88	30	
DEPLOYMENT	2350	1806	198	30	
,	2545	1808	7	28	
38	2762	1677	30	31	
HH	2754	1716	40	19	
RECOVERY	1620	1721	119	23	
2	907	1739	8	31	
28	1009	1743	35	25	
VDC	1047	1742	45	25	
FLTE	987	1771	70	20	
P	993	1792	9	31	
/	1006	1792	9	31	
L	1013	1792	9	31	
BUS	1033	1791	50	30	
UPPER	1710	1766	76	21	
13	3043	1728	104	78	
LOWER	1631	1811	94	26	
-RECOVERY	1591	1943	125	29	
UPPER	1697	1992	75	21	
LOWER	1607	2043	95	18	
14	3044	1986	108	82	
thru	3027	2094	131	76	
16	1541	2118	17	24	
DD	1535	2154	34	23	
VHF	1608	2161	49	28	
-	1665	2161	7	28	
BCN	1675	2161	53	28	
ON	1644	2192	31	21	
BROUP	1188	2191	93	28	
3	1305	2189	8	29	
POWER	2431	2165	96	29	
SUPPLY	2430	2194	96	26	
