content	x	y	w	h	
vvuMV	9984	3098	230	68	
MJWyWht	10232	3066	378	100	
11	10390	3460	98	60	
"ypjz&vz	11084	4862	454	112	
ml)m	4818	5366	370	108	
(//of,7"<"r	10164	5756	410	80	
I	9670	6846	12	86	
I'y^w	9720	6846	274	116	
sk^V.1-	9446	7008	220	98	
v.-	9682	7038	98	74	
Ww	9820	7028	168	84	
SOT?	9444	7026	552	280	
'jjJsjsjJssjsnsMUJt.	5980	8542	664	76	
^!7Jfs?j7?w/n'\Wrt:	9238	9400	606	88	
ii.'irsuiSusiiriitiiitUKrnrJjiiisj'usiiiiiufnatiratii	4048	9576	1620	52	
Vrumracrra	7316	9598	428	54	
>///"////	4710	12204	240	34	
'//^^jyy/'^^^^^TT^^WT^T^j^lTn^T^Tmu.	4962	12174	1780	90	
''///////	4122	12196	194	40	
///////J/J/JJs	4320	12196	358	42	
r/f/rr/i	11340	12372	188	32	
)H	8382	12400	72	72	
llUHtylJb	8466	12378	366	104	
•"////;////	6062	12410	310	44	
////////////%)	6378	12396	400	64	
;'	6064	12488	66	90	
'JJ;i,;<	6142	12490	208	88	
fits?	6642	12488	134	90	
aa^	6062	12698	142	50	
ru:	6256	12682	98	68	
^»,,	6406	12682	236	68	
^5	6708	12676	70	74	
ap^'>sg5p	9408	13046	730	116	
Ifes*	9408	13086	736	224	
