content	x	y	w	h	
No	483	285	64	70	
.	536	286	21	69	
82	576	286	52	69	
.	627	287	21	69	
Way	772	288	119	70	
over	915	289	88	70	
Jordan	1034	291	137	70	
.	1187	292	21	69	
vay	686	490	44	45	
o	759	491	12	44	
-	795	491	12	44	
ver	821	492	44	44	
Jor	889	492	43	45	
-	935	493	12	44	
dan	947	493	44	44	
,	1002	493	12	44	
View	1051	494	59	44	
the	1147	495	44	44	
land	1207	495	56	45	
,	1268	496	12	44	
view	1289	496	57	45	
the	1366	497	50	44	
land	1426	498	62	44	
,	1493	498	12	44	
LA	1293	686	63	32	
FINE	1420	687	64	32	
Way	541	787	66	42	
o	647	788	11	42	
-	690	788	11	42	
ver	727	789	48	42	
Jor	800	789	42	43	
-	866	790	11	42	
dan	889	790	48	43	
,	948	791	11	42	
Oh	979	791	39	42	
,	1025	792	11	42	
view	1076	792	54	43	
the	1163	793	42	42	
heav	1224	794	67	42	
'	1292	794	11	42	
nly	1304	794	41	43	
land	1378	795	59	42	
.	1442	796	11	42	
I	557	1113	11	40	
want	572	1113	81	41	
to	659	1114	23	40	
go	691	1114	29	40	
to	734	1115	21	40	
heaven	767	1115	101	41	
when	877	1116	77	41	
I	971	1117	11	40	
die	990	1117	40	41	
!	1036	1118	11	40	
View	1050	1118	64	40	
the	1128	1119	44	40	
land	1177	1119	61	41	
,	1241	1120	11	40	
view	1257	1120	52	40	
the	1328	1121	45	40	
land	1382	1121	61	41	
;	1446	1122	11	40	
To	1470	1122	29	40	
shout	551	1409	76	41	
sal	639	1410	46	40	
-	689	1410	11	40	
va	709	1411	29	40	
tion	760	1411	46	40	
as	836	1412	29	40	
I	910	1412	11	40	
fly	953	1413	29	40	
,	988	1413	11	40	
Oh	1012	1413	45	41	
,	1058	1414	11	40	
view	1082	1414	52	41	
the	1162	1415	44	40	
heav	1215	1415	68	41	
'	1284	1416	11	40	
n	1296	1416	11	40	
-	1312	1416	11	40	
ly	1326	1417	21	40	
land	1379	1417	61	41	
.	1443	1418	11	40	
3	1186	1618	8	24	
.	1198	1617	8	24	
Old	460	1648	52	40	
Satan	528	1649	81	40	
'	613	1650	11	40	
s	621	1650	11	40	
mad	640	1650	63	40	
,	707	1650	11	40	
and	731	1651	46	40	
I	797	1651	11	40	
am	821	1652	30	40	
glad	878	1652	59	41	
,	941	1653	11	40	
You	987	1653	52	41	
say	1057	1654	46	40	
you	1108	1654	46	41	
'	1158	1655	11	40	
re	1172	1655	21	40	
aiming	1202	1655	100	41	
for	1320	1657	35	40	
the	1367	1657	46	40	
skies	1426	1658	68	40	
,	1495	1658	11	40	
View	500	1684	58	37	
the	585	1685	40	37	
land	640	1686	59	36	
,	706	1686	10	36	
view	727	1687	58	36	
the	805	1687	47	37	
land	860	1688	61	36	
,	932	1689	10	36	
View	1022	1690	63	36	
the	1106	1690	46	37	
land	1160	1691	66	36	
,	1228	1692	10	36	
view	1248	1692	57	36	
the	1326	1693	47	36	
land	1388	1693	59	37	
;	1461	1694	10	36	
He	462	1718	50	34	
miss	514	1719	69	34	
'	587	1720	9	34	
d	598	1720	9	34	
that	621	1721	62	34	
soul	691	1721	63	35	
he	755	1722	37	34	
thought	800	1722	117	36	
he	923	1725	37	34	
Why	982	1725	73	35	
don	1068	1726	49	35	
'	1123	1728	9	34	
t	1133	1728	9	34	
you	1163	1728	48	34	
stop	1237	1729	55	34	
your	1311	1729	73	36	
telling	1403	1731	93	35	
O	502	1754	9	35	
view	532	1755	56	35	
the	614	1756	45	35	
heav	668	1756	69	36	
'	740	1757	9	35	
nly	748	1757	40	35	
land	808	1757	58	36	
.	873	1758	9	35	
[	894	1758	9	35	
had	902	1758	49	36	
,	959	1759	9	35	
Oview	1011	1759	99	36	
the	1130	1761	51	35	
heav	1190	1761	69	36	
'	1262	1762	9	35	
nly	1270	1762	40	35	
land	1329	1763	63	35	
.	1394	1763	9	35	
[	1412	1763	9	35	
lies	1423	1764	49	35	
?	1484	1764	9	35	
Oh	462	1789	39	36	
,	506	1790	10	36	
way	525	1790	57	36	
over	596	1790	62	37	
Jordan	675	1791	95	37	
,	776	1792	10	36	
&	798	1792	10	36	
c	817	1793	10	36	
.	832	1793	10	36	
Oh	980	1794	39	36	
,	1024	1795	10	36	
way	1041	1795	61	36	
over	1119	1796	60	36	
Jordan	1196	1796	100	37	
,	1301	1797	10	36	
&	1324	1798	10	36	
c	1346	1798	10	36	
.	1357	1798	10	36	
4	943	1834	7	26	
.	959	1834	7	26	
You	702	1868	49	35	
say	771	1869	44	34	
your	833	1870	68	34	
Lord	912	1871	66	34	
has	993	1871	53	35	
set	1057	1872	44	34	
you	1113	1873	48	34	
free	1179	1873	51	35	
,	1234	1874	9	34	
View	737	1901	62	36	
the	818	1903	46	35	
land	876	1903	60	37	
,	941	1905	10	35	
view	960	1905	57	35	
the	1042	1907	46	35	
land	1099	1907	60	37	
;	1171	1909	10	35	
Why	697	1936	68	37	
don	780	1937	52	37	
'	834	1938	10	36	
t	845	1938	10	36	
you	865	1938	46	36	
let	935	1939	31	36	
your	980	1939	66	37	
neighbours	1055	1940	166	37	
be	1234	1942	39	36	
?	1281	1942	10	36	
o	738	1971	10	36	
view	770	1971	56	37	
the	850	1972	46	36	
heav	905	1972	71	37	
'	975	1973	10	36	
nly	984	1973	41	37	
land	1046	1974	61	36	
.	1108	1974	10	36	
Oh	699	2008	39	36	
,	743	2008	9	35	
way	759	2008	60	35	
over	834	2008	58	35	
Jordan	910	2009	97	34	
,	1013	2009	9	35	
&	1038	2008	9	35	
c	1056	2008	9	35	
.	1071	2008	9	35	
202	948	2048	54	38	
